"Steubenville-Weirton, OH-WV",44600,124454,116800,4872,156,470,20,1886,1250,93.8,3.9,0.1,0.4,0,1.5,1
"Stockton, CA",44700,685306,349287,51744,7196,98472,3758,43795,266341,51,7.6,1.1,14.4,0.5,6.4,38.9
"Sumter, SC",44940,107456,51825,50414,389,1188,99,2030,3532,48.2,46.9,0.4,1.1,0.1,1.9,3.3
"Syracuse, NY",45060,662577,566257,53542,4862,15760,181,15576,22697,85.5,8.1,0.7,2.4,0,2.4,3.4
"Tallahassee, FL",45220,367413,224262,119320,1140,8509,182,7477,21342,61,32.5,0.3,2.3,0,2,5.8
"Tampa-St. Petersburg-Clearwater, FL",45300,2783243,2193411,329334,9930,80879,2079,72645,452208,78.8,11.8,0.4,2.9,0.1,2.6,16.2
"Terre Haute, IN",45460,172425,157574,8509,518,1912,50,2977,3200,91.4,4.9,0.3,1.1,0,1.7,1.9
"Texarkana, TX-Texarkana, AR",45500,136027,94775,33054,987,932,68,2719,7100,69.7,24.3,0.7,0.7,0,2,5.2
"Toledo, OH",45780,651429,523796,87455,1826,9006,161,17255,37733,80.4,13.4,0.3,1.4,0,2.6,5.8
"Topeka, KS",45820,233870,197178,15534,3572,2219,138,8530,20615,84.3,6.6,1.5,0.9,0.1,3.6,8.8
"Trenton-Ewing, NJ",45940,366513,225011,74318,1194,32752,295,10087,55318,61.4,20.3,0.3,8.9,0.1,2.8,15.1
"Tucson, AZ",46060,980263,728751,34674,32605,25731,1624,36239,338802,74.3,3.5,3.3,2.6,0.2,3.7,34.6
"Tulsa, OK",46140,937478,664988,78928,77388,16546,577,59781,78446,70.9,8.4,8.3,1.8,0.1,6.4,8.4
"Tuscaloosa, AL",46220,219461,136845,74282,568,2356,118,2230,6158,62.4,33.8,0.3,1.1,0.1,1,2.8
"Tyler, TX",46340,209714,147086,37629,1141,2597,79,4158,36088,70.1,17.9,0.5,1.2,0,2,17.2
"Utica-Rome, NY",46540,299397,266999,15388,762,6897,80,5644,11859,89.2,5.1,0.3,2.3,0,1.9,4
"Valdosta, GA",46660,139588,83348,47432,590,1758,141,2863,7735,59.7,34,0.4,1.3,0.1,2.1,5.5
"Vallejo-Fairfield, CA",46700,413344,210751,60750,3212,60473,3564,31358,99356,51,14.7,0.8,14.6,0.9,7.6,24
